value,count,ctmmlabel,class,occu
1,49.00000000000,gh,poor,low
1,17.00000000000,gh,edge,low
1,2.00000000000,gd,poor,low
1,2.00000000000,ga,poor,low
1,4.00000000000,fk,poor,low
1,197.00000000000,fg,poor,low
1,61.00000000000,fg,edge,low
1,102.00000000000,fg,crop,low
1,2.00000000000,ei,poor,low
1,2.00000000000,eh,poor,low
2,258.00000000000,hn,poor,low
2,245.00000000000,hn,edge,low
2,2808.00000000000,hn,crop,low
2,357.00000000000,hj,poor,low
2,1572.00000000000,hj,edge,low
2,27723.00000000000,hj,crop,low
2,357.00000000000,hg,poor,low
2,1572.00000000000,hg,edge,low
2,27723.00000000000,hg,crop,low
2,15029.00000000000,gv,poor,low
2,10304.00000000000,gv,edge,low
2,46073.00000000000,gv,crop,low
2,1.00000000000,gh,poor,low
2,2.00000000000,gh,edge,low
2,19.00000000000,fg,poor,low
2,4.00000000000,fg,edge,low
2,6.00000000000,fg,crop,low
2,1.00000000000,ei,poor,low
2,26.00000000000,eg,poor,low
2,73.00000000000,eg,crop,low
3,3.00000000000,hn,crop,low
3,8.00000000000,hm,poor,low
3,231.00000000000,hm,edge,low
3,2211.00000000000,hm,crop,low
3,71.00000000000,hj,poor,low
3,407.00000000000,hj,edge,low
3,10500.00000000000,hj,crop,low
3,71.00000000000,hg,poor,low
3,407.00000000000,hg,edge,low
3,10500.00000000000,hg,crop,low
3,6828.00000000000,gv,poor,low
3,5911.00000000000,gv,edge,low
3,25633.00000000000,gv,crop,low
3,27.00000000000,gu,edge,low
3,5.00000000000,gu,crop,low
3,27.00000000000,gk,edge,low
3,5.00000000000,gk,crop,low
3,2.00000000000,gh,poor,low
3,1.00000000000,gh,edge,low
3,9.00000000000,fg,poor,low
3,1.00000000000,fg,edge,low
3,2.00000000000,fg,crop,low
3,3221.00000000000,ek,poor,low
3,239.00000000000,ek,edge,low
3,110.00000000000,ek,crop,low
3,11.00000000000,eg,poor,low
3,21.00000000000,eg,crop,low
4,40.00000000000,hm,poor,low
4,136.00000000000,hm,edge,low
4,157.00000000000,hm,crop,low
4,59.00000000000,hj,poor,low
4,385.00000000000,hj,edge,low
4,7741.00000000000,hj,crop,low
4,59.00000000000,hg,poor,low
4,385.00000000000,hg,edge,low
4,7741.00000000000,hg,crop,low
4,4310.00000000000,gv,poor,low
4,4403.00000000000,gv,edge,low
4,18804.00000000000,gv,crop,low
4,1.00000000000,gu,edge,low
4,1.00000000000,gk,edge,low
4,2.00000000000,gh,poor,low
4,4.00000000000,fg,poor,low
4,2.00000000000,fg,edge,low
4,1.00000000000,fg,crop,low
4,869.00000000000,ek,poor,low
4,51.00000000000,ek,edge,low
4,27.00000000000,ek,crop,low
4,5.00000000000,eg,poor,low
4,14.00000000000,eg,crop,low
5,107.00000000000,hj,poor,low
5,926.00000000000,hj,edge,low
5,4869.00000000000,hj,crop,low
5,107.00000000000,hg,poor,low
5,926.00000000000,hg,edge,low
5,4869.00000000000,hg,crop,low
5,3154.00000000000,gv,poor,low
5,3589.00000000000,gv,edge,low
5,15351.00000000000,gv,crop,low
5,1.00000000000,fg,poor,low
5,1.00000000000,fg,edge,low
5,1.00000000000,fg,crop,low
5,226.00000000000,ek,poor,low
5,6.00000000000,ek,edge,low
5,4.00000000000,ek,crop,low
5,1.00000000000,eh,poor,low
5,3.00000000000,eg,poor,low
5,10.00000000000,eg,crop,low
6,1.00000000000,hn,crop,low
6,271.00000000000,hj,poor,low
6,458.00000000000,hj,edge,low
6,2575.00000000000,hj,crop,low
6,271.00000000000,hg,poor,low
6,458.00000000000,hg,edge,low
6,2575.00000000000,hg,crop,low
6,2383.00000000000,gv,poor,low
6,2982.00000000000,gv,edge,low
6,13184.00000000000,gv,crop,low
6,1.00000000000,gh,edge,low
6,1.00000000000,fg,poor,low
6,1.00000000000,fg,edge,low
6,2.00000000000,fg,crop,low
6,106.00000000000,ek,poor,low
6,3.00000000000,ek,edge,low
6,2.00000000000,eg,poor,low
6,8.00000000000,eg,crop,low
7,52.00000000000,hp,poor,low
7,82.00000000000,hp,edge,low
7,321.00000000000,hp,crop,low
7,252.00000000000,hj,poor,low
7,940.00000000000,hj,crop,low
7,252.00000000000,hg,poor,low
7,940.00000000000,hg,crop,low
7,1906.00000000000,gv,poor,low
7,2684.00000000000,gv,edge,low
7,11820.00000000000,gv,crop,low
7,1.00000000000,gh,poor,low
7,1.00000000000,gh,edge,low
7,1845.00000000000,fm,rich,low
7,1188.00000000000,fm,poor,low
7,4175.00000000000,fm,edge,low
7,15373.00000000000,fm,crop,low
7,2.00000000000,fg,poor,low
7,51.00000000000,ek,poor,low
7,2.00000000000,ek,edge,low
7,5.00000000000,eg,poor,low
7,3.00000000000,eg,crop,low
8,4.00000000000,hp,poor,low
8,9.00000000000,hp,edge,low
8,43.00000000000,hp,crop,low
8,29.00000000000,hj,poor,low
8,131.00000000000,hj,crop,low
8,29.00000000000,hg,poor,low
8,131.00000000000,hg,crop,low
8,1563.00000000000,gv,poor,low
8,2352.00000000000,gv,edge,low
8,10767.00000000000,gv,crop,low
8,1.00000000000,gh,poor,low
8,79.00000000000,fm,rich,low
8,161.00000000000,fm,poor,low
8,222.00000000000,fm,edge,low
8,530.00000000000,fm,crop,low
8,2.00000000000,fg,poor,low
8,34.00000000000,ek,poor,low
8,4.00000000000,eg,poor,low
8,6.00000000000,eg,crop,low
9,1.00000000000,hj,crop,low
9,1.00000000000,hg,crop,low
9,1336.00000000000,gv,poor,low
9,2140.00000000000,gv,edge,low
9,10055.00000000000,gv,crop,low
9,65.00000000000,fm,poor,low
9,3.00000000000,fm,edge,low
9,152.00000000000,fm,crop,low
9,28.00000000000,ek,poor,low
9,1.00000000000,eg,poor,low
9,6.00000000000,eg,crop,low
10,1074.00000000000,gv,poor,low
10,1914.00000000000,gv,edge,low
10,9550.00000000000,gv,crop,low
10,28.00000000000,fm,poor,low
10,73.00000000000,fm,crop,low
10,18.00000000000,ek,poor,low
10,1.00000000000,eg,poor,low
10,4.00000000000,eg,crop,low
11,956.00000000000,gv,poor,low
11,1794.00000000000,gv,edge,low
11,9012.00000000000,gv,crop,low
11,19.00000000000,fm,poor,low
11,1.00000000000,fm,edge,low
11,51.00000000000,fm,crop,low
11,3.00000000000,fg,poor,low
11,21.00000000000,ek,poor,low
11,1.00000000000,ek,edge,low
11,1.00000000000,eg,poor,low
11,3.00000000000,eg,crop,low
12,788.00000000000,gv,poor,low
12,1522.00000000000,gv,edge,low
12,8880.00000000000,gv,crop,low
12,1.00000000000,gh,poor,low
12,15.00000000000,fm,poor,low
12,36.00000000000,fm,crop,low
12,11.00000000000,ek,poor,low
12,3.00000000000,eg,poor,low
13,656.00000000000,gv,poor,low
13,1349.00000000000,gv,edge,low
13,8760.00000000000,gv,crop,low
13,13.00000000000,fm,poor,low
13,26.00000000000,fm,crop,low
13,1.00000000000,fg,poor,low
13,1.00000000000,fg,edge,low
13,9.00000000000,ek,poor,low
13,1.00000000000,eg,poor,low
13,2.00000000000,eg,crop,low
14,1.00000000000,hj,poor,low
14,1.00000000000,hg,poor,low
14,437.00000000000,gv,poor,low
14,1070.00000000000,gv,edge,low
14,8910.00000000000,gv,crop,low
14,13.00000000000,fm,poor,low
14,20.00000000000,fm,crop,low
14,1.00000000000,fg,crop,low
14,9.00000000000,ek,poor,low
14,4.00000000000,eg,poor,low
14,1.00000000000,eg,crop,low
15,408.00000000000,gv,poor,low
15,974.00000000000,gv,edge,low
15,8736.00000000000,gv,crop,low
15,6.00000000000,fm,poor,low
15,21.00000000000,fm,crop,low
15,2.00000000000,fg,edge,low
15,14.00000000000,ek,poor,low
15,3.00000000000,eg,poor,low
15,1.00000000000,eg,crop,low
16,604.00000000000,gv,poor,low
16,1554.00000000000,gv,edge,low
16,7729.00000000000,gv,crop,low
16,1.00000000000,gh,poor,low
16,6.00000000000,fm,poor,low
16,20.00000000000,fm,crop,low
16,7.00000000000,ek,poor,low
16,2.00000000000,eg,poor,low
16,2.00000000000,eg,crop,low
17,718.00000000000,gv,poor,low
17,2130.00000000000,gv,edge,low
17,6612.00000000000,gv,crop,low
17,11.00000000000,fm,poor,low
17,12.00000000000,fm,crop,low
17,10.00000000000,ek,poor,low
17,1.00000000000,eg,poor,low
18,854.00000000000,gv,poor,low
18,3318.00000000000,gv,edge,low
18,4963.00000000000,gv,crop,low
18,5.00000000000,fm,poor,low
18,12.00000000000,fm,crop,low
18,6.00000000000,ek,poor,low
18,1.00000000000,eg,poor,low
18,1.00000000000,eg,crop,low
19,964.00000000000,gv,poor,low
19,3333.00000000000,gv,edge,low
19,4299.00000000000,gv,crop,low
19,2.00000000000,fm,poor,low
19,16.00000000000,fm,crop,low
19,6.00000000000,ek,poor,low
19,1.00000000000,eg,poor,low
19,1.00000000000,eg,crop,low
20,1088.00000000000,gv,poor,low
20,2975.00000000000,gv,edge,low
20,4017.00000000000,gv,crop,low
20,4.00000000000,fm,poor,low
20,8.00000000000,fm,crop,low
20,4.00000000000,ek,poor,low
20,2.00000000000,eg,poor,low
21,1.00000000000,hn,poor,low
21,1250.00000000000,gv,poor,low
21,2574.00000000000,gv,edge,low
21,3824.00000000000,gv,crop,low
21,1.00000000000,gh,edge,low
21,6.00000000000,fm,poor,low
21,5.00000000000,fm,crop,low
21,1.00000000000,fg,poor,low
21,4.00000000000,ek,poor,low
22,1361.00000000000,gv,poor,low
22,2165.00000000000,gv,edge,low
22,3502.00000000000,gv,crop,low
22,2.00000000000,fm,poor,low
22,11.00000000000,fm,crop,low
22,4.00000000000,ek,poor,low
22,1.00000000000,eg,poor,low
23,1587.00000000000,gv,poor,low
23,1701.00000000000,gv,edge,low
23,3295.00000000000,gv,crop,low
23,4.00000000000,fm,poor,low
23,3.00000000000,fm,crop,low
23,1.00000000000,fg,crop,low
23,1.00000000000,ek,poor,low
23,1.00000000000,eg,poor,low
24,1835.00000000000,gv,poor,low
24,1138.00000000000,gv,edge,low
24,2969.00000000000,gv,crop,low
24,6.00000000000,fm,poor,low
24,2.00000000000,fm,crop,low
24,5.00000000000,ek,poor,low
24,1.00000000000,eg,poor,low
24,1.00000000000,eg,crop,low
25,2466.00000000000,gv,poor,low
25,284.00000000000,gv,edge,low
25,2751.00000000000,gv,crop,low
25,3.00000000000,fm,poor,low
25,4.00000000000,fm,crop,low
25,3.00000000000,ek,poor,low
25,1.00000000000,ei,poor,low
25,3.00000000000,eg,poor,low
26,2505.00000000000,gv,poor,low
26,2407.00000000000,gv,crop,low
26,1.00000000000,gh,poor,low
26,2.00000000000,fm,poor,low
26,5.00000000000,fm,crop,low
26,1.00000000000,fg,poor,low
26,8.00000000000,ek,poor,low
27,2214.00000000000,gv,poor,low
27,2137.00000000000,gv,crop,low
27,3.00000000000,fm,poor,low
27,8.00000000000,fm,crop,low
27,3.00000000000,ek,poor,low
27,1.00000000000,eg,poor,low
28,1922.00000000000,gv,poor,low
28,1930.00000000000,gv,crop,low
28,2.00000000000,fm,poor,low
28,7.00000000000,fm,crop,low
28,2.00000000000,ek,poor,low
29,1743.00000000000,gv,poor,low
29,1676.00000000000,gv,crop,low
29,1.00000000000,gh,poor,low
29,2.00000000000,fm,poor,low
29,2.00000000000,fm,crop,low
29,5.00000000000,ek,poor,low
29,1.00000000000,eg,poor,low
30,1530.00000000000,gv,poor,low
30,1408.00000000000,gv,crop,low
30,4.00000000000,fm,poor,low
30,4.00000000000,fm,crop,low
30,4.00000000000,ek,poor,low
30,1.00000000000,eg,poor,low
30,1.00000000000,eg,crop,low
31,1315.00000000000,gv,poor,low
31,1183.00000000000,gv,crop,low
31,1.00000000000,fm,poor,low
31,2.00000000000,fm,crop,low
31,4.00000000000,ek,poor,low
32,1150.00000000000,gv,poor,low
32,930.00000000000,gv,crop,low
32,2.00000000000,fm,poor,low
32,7.00000000000,fm,crop,low
32,3.00000000000,ek,poor,low
33,962.00000000000,gv,poor,low
33,799.00000000000,gv,crop,low
33,2.00000000000,fm,poor,low
33,5.00000000000,fm,crop,low
33,3.00000000000,ek,poor,low
34,785.00000000000,gv,poor,moderate
34,648.00000000000,gv,crop,moderate
34,4.00000000000,fm,crop,moderate
34,2.00000000000,ek,poor,moderate
34,1.00000000000,eg,crop,moderate
35,658.00000000000,gv,poor,moderate
35,485.00000000000,gv,crop,moderate
35,2.00000000000,fm,poor,moderate
35,6.00000000000,fm,crop,moderate
35,2.00000000000,ek,poor,moderate
35,1.00000000000,eg,poor,moderate
36,781.00000000000,gv,poor,moderate
36,206.00000000000,gv,crop,moderate
36,5.00000000000,fm,crop,moderate
36,2.00000000000,ek,poor,moderate
36,1.00000000000,eg,poor,moderate
37,607.00000000000,gv,poor,moderate
37,224.00000000000,gv,crop,moderate
37,3.00000000000,fm,crop,moderate
37,1.00000000000,ek,poor,moderate
38,537.00000000000,gv,poor,moderate
38,185.00000000000,gv,crop,moderate
38,4.00000000000,fm,poor,moderate
38,1.00000000000,fm,crop,moderate
38,3.00000000000,ek,poor,moderate
39,402.00000000000,gv,poor,moderate
39,170.00000000000,gv,crop,moderate
39,2.00000000000,fm,poor,moderate
39,2.00000000000,fm,crop,moderate
39,3.00000000000,ek,poor,moderate
39,1.00000000000,eg,poor,moderate
40,304.00000000000,gv,poor,moderate
40,152.00000000000,gv,crop,moderate
40,1.00000000000,fm,poor,moderate
40,2.00000000000,fm,crop,moderate
40,3.00000000000,ek,poor,moderate
41,209.00000000000,gv,poor,moderate
41,108.00000000000,gv,crop,moderate
41,5.00000000000,fm,crop,moderate
41,1.00000000000,eg,crop,moderate
42,116.00000000000,gv,poor,moderate
42,103.00000000000,gv,crop,moderate
42,2.00000000000,fm,poor,moderate
42,6.00000000000,fm,crop,moderate
42,1.00000000000,ek,poor,moderate
43,99.00000000000,gv,poor,moderate
43,55.00000000000,gv,crop,moderate
43,5.00000000000,fm,crop,moderate
43,1.00000000000,fg,poor,moderate
43,2.00000000000,ek,poor,moderate
44,39.00000000000,gv,poor,moderate
44,34.00000000000,gv,crop,moderate
44,2.00000000000,fm,crop,moderate
44,2.00000000000,ek,poor,moderate
45,32.00000000000,gv,poor,moderate
45,15.00000000000,gv,crop,moderate
45,3.00000000000,fm,crop,moderate
45,2.00000000000,ek,poor,moderate
45,1.00000000000,eg,poor,moderate
46,4.00000000000,gv,poor,moderate
46,7.00000000000,gv,crop,moderate
46,1.00000000000,fm,poor,moderate
46,2.00000000000,fm,crop,moderate
46,1.00000000000,ek,poor,moderate
46,1.00000000000,eg,poor,moderate
47,3.00000000000,fm,poor,moderate
47,2.00000000000,fm,crop,moderate
47,1.00000000000,eg,poor,moderate
48,1.00000000000,hj,crop,moderate
48,1.00000000000,hg,crop,moderate
48,1.00000000000,ek,poor,moderate
48,1.00000000000,eg,poor,moderate
49,4.00000000000,fm,poor,moderate
49,1.00000000000,ek,poor,moderate
49,1.00000000000,eg,poor,moderate
50,1.00000000000,fm,poor,moderate
50,2.00000000000,fm,crop,moderate
50,1.00000000000,ek,poor,moderate
50,1.00000000000,eg,poor,moderate
51,1.00000000000,fm,crop,moderate
51,1.00000000000,ek,poor,moderate
52,1.00000000000,fm,poor,moderate
52,3.00000000000,fm,crop,moderate
52,1.00000000000,ek,poor,moderate
53,1.00000000000,fm,poor,moderate
53,1.00000000000,fm,crop,moderate
53,1.00000000000,ek,poor,moderate
53,1.00000000000,eg,poor,moderate
54,3.00000000000,fm,crop,moderate
54,1.00000000000,eg,poor,moderate
55,1.00000000000,fm,poor,moderate
56,2.00000000000,fm,crop,moderate
57,2.00000000000,fm,crop,moderate
58,1.00000000000,fm,poor,moderate
58,1.00000000000,ek,poor,moderate
59,1.00000000000,fm,crop,moderate
59,1.00000000000,ek,poor,moderate
60,1.00000000000,fm,poor,moderate
60,2.00000000000,fm,crop,moderate
60,1.00000000000,ek,poor,moderate
60,1.00000000000,eg,poor,moderate
61,1.00000000000,fm,poor,moderate
61,1.00000000000,ek,poor,moderate
62,1.00000000000,fm,crop,moderate
62,1.00000000000,ek,poor,moderate
63,2.00000000000,fm,poor,moderate
64,2.00000000000,gv,poor,moderate
64,2.00000000000,fm,crop,moderate
65,2.00000000000,fm,crop,moderate
65,1.00000000000,ek,poor,moderate
65,1.00000000000,eg,poor,moderate
66,2.00000000000,ek,poor,moderate
67,1.00000000000,ek,poor,high
68,1.00000000000,fm,crop,high
69,2.00000000000,fm,crop,high
70,1.00000000000,fm,poor,high
71,1.00000000000,fm,crop,high
72,2.00000000000,fm,crop,high
73,2.00000000000,fm,poor,high
73,1.00000000000,fm,crop,high
73,2.00000000000,ek,poor,high
74,1.00000000000,fm,poor,high
74,1.00000000000,ek,poor,high
75,1.00000000000,fm,crop,high
75,1.00000000000,ek,poor,high
76,1.00000000000,fm,crop,high
76,1.00000000000,ek,poor,high
78,2.00000000000,fm,crop,high
78,2.00000000000,ek,poor,high
78,1.00000000000,eg,poor,high
79,1.00000000000,fm,crop,high
79,2.00000000000,ek,poor,high
80,1.00000000000,fm,crop,high
81,1.00000000000,fm,crop,high
81,1.00000000000,ek,poor,high
82,1.00000000000,fm,crop,high
83,2.00000000000,fm,crop,high
84,2.00000000000,fm,crop,high
86,1.00000000000,fm,crop,high
86,1.00000000000,eg,poor,high
87,2.00000000000,fm,crop,high
89,1.00000000000,fm,crop,high
90,1.00000000000,fm,crop,high
95,1.00000000000,fm,poor,high
96,1.00000000000,ek,poor,high
97,1.00000000000,fm,crop,high
