L_ID,Date,StartTime,EndTime,L_N,L_E,L_Long,L_Lat
A1,7/8/2019,14:12:15,14:14:15,4751595.61,525538.961,-92.68709385,42.91655216
A2,7/8/2019,14:21:10,14:23:10,4751614.238,525556.241,-92.68688129,42.91671933
A3,7/8/2019,14:25:15,14:27:15,4751633.898,525574.57,-92.68665583,42.91689576
A4,7/8/2019,14:28:20,14:30:20,4751652.168,525591.515,-92.68644738,42.91705971
A5,7/8/2019,14:28:20,14:30:20,4751670.197,525608.171,-92.68624249,42.9172215
A6,7/8/2019,14:31:05,14:33:05,4751688.808,525625.105,-92.68603416,42.91738853
A7,7/8/2019,14:33:50,14:35:50,4751707.225,525641.563,-92.68583167,42.91755382
A8,7/8/2019,14:37:45,14:39:45,4751726.005,525657.604,-92.68563428,42.9177224
A9,7/8/2019,14:40:25,14:42:25,4751744.349,525674.501,-92.68542641,42.91788702
A10,7/8/2019,14:43:15,14:45:15,4751762.495,525690.988,-92.68522358,42.91804987
A11,7/8/2019,14:46:00,14:48:00,4751780.898,525707.655,-92.68501853,42.91821503
A12,7/8/2019,14:48:45,14:50:45,4751799.301,525724.403,-92.68481248,42.91838018
A13,7/8/2019,14:51:25,14:53:25,4751817.427,525740.699,-92.68461199,42.91854286
B1,7/8/2019,14:54:10,14:56:10,4751834.521,525755.689,-92.68442754,42.91869629
B2,7/8/2019,14:57:05,14:59:05,4751852.523,525737.379,-92.68465105,42.91885901
B3,7/8/2019,15:00:50,15:02:50,4751869.919,525719.867,-92.68486482,42.91901626
B4,7/8/2019,15:03:40,15:05:40,4751887.664,525701.789,-92.6850855,42.91917666
B5,7/8/2019,15:06:20,15:08:20,4751904.901,525683.948,-92.68530331,42.91933248
B6,7/8/2019,15:10:40,15:12:40,4751922.411,525667.169,-92.68550809,42.91949073
B7,7/8/2019,15:17:00,15:19:00,4751939.059,525649.046,-92.68572938,42.91964125
B8,7/8/2019,15:21:00,15:23:00,4751955.172,525630.765,-92.68595263,42.91978697
B9,7/8/2019,15:27:00,15:29:00,4751973.052,525612.834,-92.68617152,42.91994858
B10,7/8/2019,10:32:00,10:34:00,4751988.907,525594.013,-92.6864014,42.92009199
B11,7/8/2019,15:35:35,15:37:35,4752006.386,525577.533,-92.68660252,42.92024994
B12,7/8/2019,15:39:00,15:41:00,4752022.853,525559.7,-92.68682028,42.92039883
B13,7/8/2019,15:42:30,15:44:30,4752039.683,525543.092,-92.687023,42.92055094
C1,7/8/2019,15:45:45,15:47:45,4752058.042,525528.747,-92.68719793,42.92071674
C2,7/8/2019,15:57:30,15:59:30,4751944.389,525464.442,-92.68799101,42.91969544
C3,7/8/2019,16:10:50,16:12:50,4751945.176,525417.225,-92.6885695,42.9197041
C4,7/8/2019,16:16:35,16:18:35,4751928.211,525398.307,-92.68880206,42.91955196
C5,7/8/2019,16:19:45,16:21:45,4751910.495,525380.845,-92.68901682,42.91939301
C6,7/8/2019,16:23:20,16:25:20,4751893.261,525362.547,-92.6892418,42.91923842
C7,7/8/2019,16:27:00,16:29:00,4751877.447,525347.113,-92.68943162,42.91909653
C8,7/8/2019,16:33:00,16:35:00,4751861.365,525330.095,-92.68964085,42.91895228
C9,7/8/2019,16:38:00,16:40:00,4751844.131,525313.605,-92.68984368,42.91879763
C10,7/8/2019,16:44:00,16:46:00,4751828.499,525296.23,-92.69005727,42.91865744
D1,7/8/2019,16:48:00,16:50:00,4751820.274,525285.646,-92.69018732,42.91858372
D2,7/8/2019,16:58:00,17:00:00,4751804.704,525305.314,-92.68994704,42.91844286
D3,7/8/2019,17:02:00,17:04:00,4751789.619,525325.147,-92.68970472,42.91830636
D4,7/8/2019,17:06:00,17:08:00,4751773.704,525343.495,-92.68948064,42.91816243
D5,7/8/2019,17:13:00,17:15:00,4751757.853,525359.138,-92.68928969,42.91801918
D6,7/8/2019,17:17:00,17:19:00,4751742.045,525377.134,-92.68906992,42.91787622
D7,7/8/2019,17:20:00,17:22:00,4751725.67,525395.294,-92.68884816,42.91772816
D8,7/8/2019,17:24:00,17:26:00,4751709.231,525414.019,-92.68861948,42.9175795
D9,7/8/2019,17:27:00,17:29:00,4751693.43,525431.82,-92.6884021,42.91743662
D10,7/8/2019,17:29:40,17:31:40,4751677.222,525449.973,-92.68818042,42.91729006
D11,7/8/2019,17:32:40,17:34:40,4751661.256,525468.339,-92.68795613,42.91714567
D12,7/8/2019,17:36:20,17:38:20,4751644.97,525485.908,-92.68774161,42.91699843
D13,7/8/2019,17:39:10,17:41:10,4751628.447,525504.305,-92.68751696,42.91684902
D14,7/8/2019,17:42:05,17:44:05,4751612.276,525522.362,-92.68729646,42.9167028
