Date,Tower,Antenna,EstAzimuth,T_N,T_E,T_Long,T_Lat
7/5/2019,T3,1,310,4752050.3,525755.365,-92.68442159,42.92063941
7/5/2019,T3,2,257,4752050.3,525755.365,-92.68442159,42.92063941
7/5/2019,T3,3,200,4752050.3,525755.365,-92.68442159,42.92063941
7/5/2019,T3,4,138,4752050.3,525755.365,-92.68442159,42.92063941
7/5/2019,T9,1,39,4751590.716,525762.766,-92.68435203,42.91650056
7/5/2019,T9,2,344,4751590.716,525762.766,-92.68435203,42.91650056
7/5/2019,T9,3,288,4751590.716,525762.766,-92.68435203,42.91650056
7/5/2019,T9,4,229,4751590.716,525762.766,-92.68435203,42.91650056
7/6/2019,T1,1,210,4752044.757,525279.398,-92.69025374,42.92060542
7/6/2019,T1,2,153,4752044.757,525279.398,-92.69025374,42.92060542
7/6/2019,T1,3,99,4752044.757,525279.398,-92.69025374,42.92060542
7/6/2019,T1,4,45,4752044.757,525279.398,-92.69025374,42.92060542
7/6/2019,T7,1,133,4751587.388,525295.045,-92.69008267,42.91648625
7/6/2019,T7,2,76,4751587.388,525295.045,-92.69008267,42.91648625
7/6/2019,T7,3,22,4751587.388,525295.045,-92.69008267,42.91648625
7/6/2019,T7,4,335,4751587.388,525295.045,-92.69008267,42.91648625
7/6/2019,T8,1,110,4751595.309,525539.333,-92.68708931,42.91654944
7/6/2019,T8,2,56,4751595.309,525539.333,-92.68708931,42.91654944
7/6/2019,T8,3,1,4751595.309,525539.333,-92.68708931,42.91654944
7/6/2019,T8,4,299,4751595.309,525539.333,-92.68708931,42.91654944
7/6/2019,T4,1,183,4751820.777,525286.266,-92.6901797,42.91858823
7/6/2019,T4,2,127,4751820.777,525286.266,-92.6901797,42.91858823
7/6/2019,T4,3,59,4751820.777,525286.266,-92.6901797,42.91858823
7/6/2019,T4,4,360,4751820.777,525286.266,-92.6901797,42.91858823
7/7/2019,T1,1,210,4752044.757,525279.398,-92.69025374,42.92060542
7/7/2019,T1,2,155,4752044.757,525279.398,-92.69025374,42.92060542
7/7/2019,T1,3,100,4752044.757,525279.398,-92.69025374,42.92060542
7/7/2019,T1,4,36,4752044.757,525279.398,-92.69025374,42.92060542
7/7/2019,T4,1,194,4751820.777,525286.266,-92.6901797,42.91858823
7/7/2019,T4,2,124,4751820.777,525286.266,-92.6901797,42.91858823
7/7/2019,T4,3,65,4751820.777,525286.266,-92.6901797,42.91858823
7/7/2019,T4,4,4,4751820.777,525286.266,-92.6901797,42.91858823
7/7/2019,T7,1,134,4751587.388,525295.045,-92.69008267,42.91648625
7/7/2019,T7,2,70,4751587.388,525295.045,-92.69008267,42.91648625
7/7/2019,T7,3,20,4751587.388,525295.045,-92.69008267,42.91648625
7/7/2019,T7,4,322,4751587.388,525295.045,-92.69008267,42.91648625
7/7/2019,T8,1,110,4751595.309,525539.333,-92.68708931,42.91654944
7/7/2019,T8,2,56,4751595.309,525539.333,-92.68708931,42.91654944
7/7/2019,T8,3,0,4751595.309,525539.333,-92.68708931,42.91654944
7/7/2019,T8,4,300,4751595.309,525539.333,-92.68708931,42.91654944
7/7/2019,T5,1,159,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,2,97,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,3,39,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,4,346,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,5,289,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,6,240,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,7,173,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T5,8,115,4751833.976,525536.961,-92.6871075,42.91869874
7/7/2019,T2,1,108,4752058.259,525528.872,-92.68719639,42.92071869
7/7/2019,T2,2,169,4752058.259,525528.872,-92.68719639,42.92071869
7/7/2019,T2,3,230,4752058.259,525528.872,-92.68719639,42.92071869
7/7/2019,T2,4,288,4752058.259,525528.872,-92.68719639,42.92071869
7/7/2019,T9,1,37,4751590.716,525762.766,-92.68435203,42.91650056
7/7/2019,T9,2,341,4751590.716,525762.766,-92.68435203,42.91650056
7/7/2019,T9,3,274,4751590.716,525762.766,-92.68435203,42.91650056
7/7/2019,T9,4,212,4751590.716,525762.766,-92.68435203,42.91650056
7/7/2019,T6,1,346,4751834.521,525755.689,-92.68442754,42.91869629
7/7/2019,T6,2,289,4751834.521,525755.689,-92.68442754,42.91869629
7/7/2019,T6,3,238,4751834.521,525755.689,-92.68442754,42.91869629
7/7/2019,T6,4,117,4751834.521,525755.689,-92.68442754,42.91869629
7/7/2019,T3,1,301,4752050.3,525755.365,-92.68442159,42.92063941
7/7/2019,T3,2,240,4752050.3,525755.365,-92.68442159,42.92063941
7/7/2019,T3,3,190,4752050.3,525755.365,-92.68442159,42.92063941
7/7/2019,T3,4,120,4752050.3,525755.365,-92.68442159,42.92063941
